# date: 06-Jun-2025 07:58:49
# dateEnd: 06-Jun-2025 08:01:13
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: nn

                      fname                      ; ok ;    seed    ;  time ; checkTime 
 test_nn_nnHelper_validateNNoptions              ;  1 ; 3302823383 ;  0.02 ;         1 
 test_nn_nnAdamOptimizer_step                    ;  1 ; 2909905177 ;  0.10 ;         1 
 test_nn_nnSGDOptimizer_step                     ;  1 ;  964887312 ;  0.04 ;         1 
 test_nn_rl_agentRL_validateOptions              ;  1 ; 4222434256 ;  2.74 ;         1 
 test_nn_rl_buffer                               ;  1 ; 2268427748 ;  0.03 ;         1 
 test_nn_rl_ctrlEnv_step                         ;  1 ; 3936986860 ;  2.00 ;         1 
 test_nn_rl_ctrlEnv_validateOptions              ;  1 ;  541899265 ;  0.62 ;         1 
 test_neurNetContrSys_neurNetContrSys            ;  1 ; 3659409080 ;  0.11 ;         1 
 test_neurNetContrSys_reach_01_toyExample        ;  1 ; 2135437706 ;  2.13 ;         1 
 test_neurNetContrSys_simulate                   ;  1 ; 2228601245 ;  0.79 ;         1 
 testnn_neurNetContrSys_reach_02_unicycle        ;  1 ; 4247036013 ;  6.67 ;         1 
 testnn_neurNetContrSys_reach_03_timeMismatch    ;  1 ; 1307506452 ;  1.83 ;         1 
 testnn_polyZonotope_cnn_verivital_avg           ;  1 ; 1458876419 ;  7.57 ;         1 
 testnn_polyZonotope_cnn_verivital_max           ;  1 ; 3032216645 ;  3.17 ;         1 
 testnn_verify                                   ;  1 ; 1784403327 ;  4.40 ;         1 
 testnn_vnnlib2cora                              ;  1 ; 2867880007 ;  0.12 ;         1 
 testnn_nnVisualizationLayer                     ;  1 ;  795592920 ;  4.55 ;         1 
 testnn_neuralNetwork_addVisualizationLayers     ;  1 ;  574445831 ;  1.67 ;         1 
 testnn_neuralNetwork_computeReducedNetwork      ;  1 ; 1988012292 ; 10.98 ;         1 
 testnn_neuralNetwork_exportNetworkAsCellArray   ;  1 ; 1241969687 ;  0.55 ;         1 
 testnn_neuralNetwork_exportONNXNetwork          ;  1 ;  500921527 ;  3.13 ;         1 
 testnn_neuralNetwork_importFromJSON             ;  1 ; 4139329258 ;  0.70 ;         1 
 testnn_neuralNetwork_readNetwork                ;  1 ; 3606063861 ;  0.56 ;         1 
 testnn_neuralNetwork_readONNXNetwork            ;  1 ; 1525137908 ;  1.38 ;         1 
 testnn_neuralNetwork_train                      ;  1 ; 2171156074 ;  7.98 ;         0 
 testnn_neuralNetwork_train_set                  ;  1 ; 1399231903 ; 13.60 ;         0 
 testnn_neuralNetwork_verify                     ;  1 ; 4073443661 ;  3.46 ;         1 
 testnn_rl_agentRL_train_all                     ;  1 ;  275576161 ; 26.13 ;         0 
 testnn_rl_agentRL_train_point                   ;  1 ; 3227662105 ; 11.70 ;         0 
 testnn_requiredToolboxes                        ;  1 ; 1682242276 ;  0.21 ;         1 


