# date: 06-Jun-2025 09:40:32
# dateEnd: 06-Jun-2025 13:26:23
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: examples

                             fname                            ; ok ;    seed    ;   time  ; checkTime 
 example_nonlinearParam_reach_02_tank_certainCase             ;  1 ; 2575278991 ;   34.04 ;         1 
 example_nonlinearParam_reach_03_tank_linearRemainder         ;  1 ; 2016110485 ;    6.86 ;         1 
 example_nonlinearParam_reach_04_vanderPol_linearRemainder    ;  1 ; 1276507742 ;    5.95 ;         1 
 example_nonlinearARX_conform_01_white                        ;  1 ;  213754411 ;   32.09 ;         1 
 example_nonlinearARX_conform_02_gray                         ;  1 ; 4097835558 ;  708.94 ;         1 
 example_nonlinearARX_conform_03_black                        ;  1 ; 2713364347 ;   76.36 ;         1 
 example_nonlinearARX_reach                                   ;  1 ;   95028161 ;   12.13 ;         1 
 example_nonlinear_conform_01_autonomousCar                   ;  1 ;  748684892 ;    0.01 ;         1 
 example_nonlinear_isconform_01_autonomousCar                 ;  1 ; 2856616847 ;    0.00 ;         1 
 example_nonlinear_reachInner_01_brusselator                  ;  1 ; 1528429111 ;   40.27 ;         1 
 example_nonlinear_reachInner_02_biologicalModel              ;  1 ; 1340328583 ;  264.66 ;         1 
 example_nonlinear_reach_01_tank                              ;  1 ; 2116796019 ;   20.35 ;         1 
 example_nonlinear_reach_02_vanDerPol_polyZonotope            ;  1 ; 4145499922 ;   95.73 ;         1 
 example_nonlinear_reach_03_vanDerPol_splitting               ;  1 ; 2569587230 ;   14.95 ;         1 
 example_nonlinear_reach_04_laubLoomis_polyZonotope           ;  1 ; 3369166262 ;  635.55 ;         1 
 example_nonlinear_reach_05_autonomousCar                     ;  1 ;  225471298 ;   64.30 ;         1 
 example_nonlinear_reach_06_tank_linearRemainder              ;  1 ; 3391392538 ;    6.56 ;         1 
 example_nonlinear_reach_07_vanDerPol_linearRemainder         ;  1 ; 3340130466 ;  143.64 ;         1 
 example_nonlinear_reach_08_subset                            ;  1 ;  496984028 ;   21.19 ;         1 
 example_nonlinear_reach_09_drum                              ;  1 ; 2542058011 ;   44.96 ;         1 
 example_nonlinear_reach_10_pendulum                          ;  1 ; 3524490187 ;  146.66 ;         1 
 example_nonlinear_reach_11_innerApprox                       ;  1 ;  673631106 ;  120.27 ;         1 
 example_nonlinear_reach_12_adaptive                          ;  1 ; 3744460025 ;   10.31 ;         1 
 example_nonlinear_reach_13_adaptiveHSCC                      ;  1 ; 2556876457 ;  140.64 ;         1 
 example_nonlinear_reach_14_adaptiveHSCC2                     ;  1 ; 4163468945 ;  680.66 ;         1 
 example_nonlinear_reach_15_infiniteBusRoA                    ;  1 ; 1520349003 ;   47.14 ;         1 
 example_nonlinear_reach_16_infiniteBusRoA_polynomialized     ;  1 ; 3218328478 ;  118.30 ;         1 
 example_nonlinearSysDT_conform_01_white                      ;  1 ; 2470709709 ;   85.80 ;         1 
 example_nonlinearSysDT_conform_02_gray                       ;  1 ; 1769787810 ;  642.99 ;         1 
 example_nonlinearSysDT_conform_03_scal                       ;  1 ; 4106859136 ;  214.78 ;         1 
 example_nonlinearSysDT_observe_01_tank                       ;  1 ; 1273109264 ;   63.45 ;         1 
 example_nonlinearSysDT_reach_adaptive                        ;  1 ; 1924172089 ;   13.71 ;         1 
 example_nonlinearSysDT_reach_cstrDisc                        ;  1 ;  291390495 ;    3.95 ;         1 
 example_nonlinearSysDT_reach_tank                            ;  1 ; 3832596865 ;    9.66 ;         1 
 example_affine                                               ;  1 ; 2687086637 ;    0.22 ;         1 
 example_capsule                                              ;  1 ; 2974141614 ;    0.22 ;         1 
 example_conPolyZono                                          ;  1 ; 3966945674 ;   34.77 ;         1 
 example_conZonotope                                          ;  1 ; 3104902757 ;    0.32 ;         1 
 example_ellipsoid                                            ;  1 ;  922606951 ;    4.59 ;         1 
 example_interval                                             ;  1 ;  729521249 ;    0.07 ;         1 
 example_levelSet                                             ;  1 ; 2147903613 ;    3.32 ;         0 
 example_plot1Dsets                                           ;  1 ; 3924562391 ;    7.22 ;         1 
 example_plot_color                                           ;  1 ; 3411906694 ;    0.43 ;         1 
 example_plot_posXYZ                                          ;  1 ; 1354774468 ;    0.33 ;         1 
 example_polyZonotope                                         ;  1 ; 3350004019 ;    0.34 ;         1 
 example_polytope                                             ;  1 ;  872792504 ;    0.49 ;         1 
 example_probZonotope                                         ;  1 ;   96506325 ;    1.02 ;         1 
 example_spectraShadow                                        ;  1 ; 1697957042 ;    8.62 ;         0 
