# date: 25-Aug-2025 12:55:09
# dateEnd: 25-Aug-2025 13:13:25
# hostsystem: Windows
# matlabversion: 25.1.0.2973910 (R2025a) Update 1
# coraversion: CORA v2025.2.0
# testSuite: short

                          fname                          ; ok ;    seed    ;  time ; checkTime 
 test_linearSysDT_observe_05_FRad_C                      ;  1 ; 2426372057 ;  5.24 ;         1 
 test_linearSysDT_printSystem                            ;  1 ;   87869083 ;  0.11 ;         1 
 test_linearSysDT_reach_01_5dim                          ;  1 ; 3561499834 ;  0.75 ;         1 
 test_linearSysDT_reach_02_differentsets                 ;  1 ; 3517064373 ;  2.81 ;         1 
 test_linearSysDT_reach_03_noUncertainty                 ;  1 ; 1448062201 ;  0.13 ;         1 
 test_linearSysDT_reach_04_withDmatrix                   ;  1 ; 3279223827 ;  0.16 ;         1 
 test_linearSysDT_simulate                               ;  1 ; 1136186825 ;  0.19 ;         1 
 test_neurNetContrSys_neurNetContrSys                    ;  1 ; 1290738597 ;  1.47 ;         1 
 test_neurNetContrSys_reach_01_toyExample                ;  1 ; 2972601485 ;  8.94 ;         1 
 test_neurNetContrSys_simulate                           ;  1 ; 1359767499 ;  8.80 ;         1 
 test_nonlinDASys_display                                ;  1 ; 1849720668 ;  1.93 ;         1 
 test_nonlinDASys_nonlinDASys                            ;  1 ;   41391085 ;  2.71 ;         1 
 test_nonlinDASys_printSystem                            ;  1 ; 3137142055 ;  0.25 ;         1 
 test_nonlinParamSys_display                             ;  1 ; 2239407153 ;  2.73 ;         1 
 test_nonlinParamSys_nonlinParamSys                      ;  1 ; 2546909412 ;  1.91 ;         1 
 test_nonlinParamSys_printSystem                         ;  1 ;  434699789 ;  0.21 ;         1 
 test_nonlinParamSys_reach_01_tank                       ;  1 ; 1572173046 ;  6.70 ;         1 
 test_nonlinParamSys_reach_02_tank_certainCase           ;  1 ; 3544657996 ;  8.12 ;         1 
 test_nonlinearARX_computeGO_01_reach                    ;  1 ; 4139033969 ;  4.32 ;         1 
 test_nonlinearARX_computeGO_02_linsys                   ;  1 ;  192624546 ;  4.08 ;         1 
 test_nonlinearARX_conform_01_constraints                ;  1 ;   92795964 ;  1.95 ;         1 
 test_nonlinearARX_conform_02_costs                      ;  0 ; 1563137643 ;  1.00 ;         1 
 test_nonlinearARX_display                               ;  1 ; 1420065373 ;  0.30 ;         1 
 test_nonlinearARX_printSystem                           ;  1 ; 2835909416 ;  0.07 ;         1 
 test_nonlinearARX_reach_01_3D                           ;  0 ; 1333108592 ;  0.33 ;         1 
 test_nonlinearARX_reach_02_2Dcontain                    ;  0 ; 2134183976 ;  0.07 ;         1 
 test_nonlinearSys_approxDepReach                        ;  0 ; 1097063611 ;  3.18 ;         1 
 test_nonlinearSys_display                               ;  1 ;   21759051 ;  1.85 ;         1 
 test_nonlinearSys_evalNthTensor                         ;  1 ; 1096667864 ;  1.24 ;         1 
 test_nonlinearSys_initReach                             ;  1 ;   35870154 ;  0.93 ;         1 
 test_nonlinearSys_isequal                               ;  1 ; 2404703367 ;  1.40 ;         1 
 test_nonlinearSys_linearize                             ;  1 ;  182773756 ;  0.43 ;         1 
 test_nonlinearSys_nonlinearSys                          ;  1 ; 2608000401 ;  1.47 ;         1 
 test_nonlinearSys_printSystem                           ;  1 ;  290476986 ;  0.26 ;         1 
 test_nonlinearSys_reach_01_tank                         ;  1 ; 3670885400 ; 10.47 ;         1 
 test_nonlinearSys_reach_02_linearEqualsNonlinear        ;  1 ; 3720319182 ;  2.11 ;         1 
 test_nonlinearSys_reach_04_laubLoomis_polyZonotope      ;  1 ; 1181136269 ;  7.03 ;         1 
 test_nonlinearSys_reach_06_tank_linearRemainder         ;  1 ; 3632893288 ;  2.90 ;         1 
 test_nonlinearSys_reach_time                            ;  1 ; 2432675349 ;  0.73 ;         1 
 test_nonlinearSys_simplifyOptimize                      ;  1 ;  832097650 ;  3.88 ;         1 
 test_nonlinearSysDT_computeGO_01_reach                  ;  1 ;  901845225 ;  1.93 ;         1 
 test_nonlinearSysDT_computeGO_02_linsys                 ;  1 ; 1908992681 ;  6.51 ;         1 
 test_nonlinearSysDT_conform_01_constraints              ;  1 ; 3883429791 ;  1.89 ;         1 
 test_nonlinearSysDT_conform_02_costs                    ;  1 ; 2609643356 ;  5.35 ;         1 
 test_nonlinearSysDT_conform_03_rec                      ;  1 ; 2029169743 ;  1.73 ;         1 
 test_nonlinearSysDT_createTestSuite                     ;  1 ; 1001967750 ;  6.48 ;         1 
 test_nonlinearSysDT_display                             ;  1 ; 2824889655 ;  1.57 ;         1 
 test_nonlinearSysDT_loadDynamics                        ;  1 ;  629850026 ;  1.90 ;         1 
 test_nonlinearSysDT_nonlinearSysDT                      ;  1 ; 2275846797 ;  0.98 ;         1 
 test_nonlinearSysDT_observe_01_tank                     ;  1 ; 1001095018 ;  3.47 ;         1 
 test_nonlinearSysDT_printSystem                         ;  1 ;  851219242 ;  0.17 ;         1 
 test_nonlinearSysDT_reach_01_cstrDisc                   ;  0 ;  475893852 ;  1.77 ;         1 
 test_nonlinearSysDT_reach_02_tank                       ;  1 ; 1998936231 ;  4.68 ;         1 
 test_nonlinearSysDT_reach_03_linearSysDT                ;  1 ; 3851205658 ;  6.13 ;         1 
 test_nonlinearSysDT_reach_04_uTransVec                  ;  1 ;  107817365 ;  9.26 ;         1 
 test_nonlinearSysDT_simulate                            ;  1 ; 3510884694 ;  4.95 ;         1 
 test_nonlinearSysDT_simulate_linearEqualsNonlinear      ;  1 ; 1951470114 ;  0.44 ;         1 
 test_capsule_capsule                                    ;  1 ; 2038644452 ;  0.09 ;         1 
 test_capsule_center                                     ;  1 ; 4170138109 ;  0.03 ;         1 
 test_capsule_contains                                   ;  1 ; 4289228671 ;  0.17 ;         1 
 test_capsule_copy                                       ;  1 ; 3128228820 ;  0.03 ;         1 
 test_capsule_dim                                        ;  1 ; 4135065090 ;  0.02 ;         1 
 test_capsule_display                                    ;  1 ; 3454298031 ;  0.08 ;         1 
 test_capsule_ellipsoid                                  ;  0 ; 2284866283 ;  0.15 ;         1 
 test_capsule_empty                                      ;  1 ; 1988350105 ;  0.01 ;         1 
 test_capsule_enclosePoints                              ;  1 ; 4048810598 ;  0.03 ;         1 
 test_capsule_enlarge                                    ;  1 ; 4237816386 ;  0.05 ;         1 
 test_capsule_eq                                         ;  1 ; 2138675951 ;  0.07 ;         1 
 test_capsule_generateRandom                             ;  1 ; 1046889544 ;  0.07 ;         1 
 test_capsule_interval                                   ;  1 ; 1393497895 ;  0.25 ;         1 
 test_capsule_isFullDim                                  ;  1 ;  177743229 ;  0.02 ;         1 
 test_capsule_isIntersecting                             ;  1 ; 3312405005 ;  0.26 ;         1 
 test_capsule_isemptyobject                              ;  1 ; 1798146167 ;  0.01 ;         1 
 test_capsule_isequal                                    ;  1 ; 2257960572 ;  0.02 ;         1 
 test_capsule_isnan                                      ;  1 ; 3556801778 ;  0.01 ;         1 
 test_capsule_lift                                       ;  1 ; 3918073993 ;  0.04 ;         1 
 test_capsule_mtimes                                     ;  1 ; 1308767126 ;  0.02 ;         1 
 test_capsule_ne                                         ;  1 ; 4272221709 ;  0.03 ;         1 
 test_capsule_origin                                     ;  1 ; 3357927860 ;  0.08 ;         1 
 test_capsule_plot                                       ;  1 ; 1879948202 ;  2.70 ;         1 
 test_capsule_plotRandPoint                              ;  1 ; 3004963900 ;  0.32 ;         1 
 test_capsule_plus                                       ;  1 ;  102450469 ;  0.04 ;         1 
 test_capsule_polygon                                    ;  1 ;  872453541 ;  0.44 ;         1 
 test_capsule_polytope                                   ;  1 ; 3156183698 ;  1.03 ;         1 
 test_capsule_printSet                                   ;  1 ; 1026743619 ;  0.13 ;         1 
 test_capsule_project                                    ;  1 ; 4243938991 ;  0.02 ;         1 
 test_capsule_radius                                     ;  1 ; 3705595160 ;  0.01 ;         1 
 test_capsule_randPoint                                  ;  1 ; 3740781944 ;  0.04 ;         1 
 test_capsule_reduce                                     ;  1 ; 1352647902 ;  0.01 ;         1 
 test_capsule_representsa                                ;  1 ; 2089144724 ;  0.19 ;         1 
 test_capsule_supportFunc                                ;  1 ; 2253273404 ;  1.06 ;         1 
 test_capsule_uminus                                     ;  1 ; 4152214625 ;  0.02 ;         1 
 test_capsule_uplus                                      ;  1 ; 2644252652 ;  0.01 ;         1 
 test_capsule_vertices                                   ;  1 ; 3191772652 ;  0.03 ;         1 
 test_capsule_volume                                     ;  1 ; 1596976093 ;  0.05 ;         1 
 test_conPolyZono_conPolyZono                            ;  1 ; 1551999433 ;  0.13 ;         1 
 test_conPolyZono_conZonotope                            ;  1 ; 1745253640 ;  2.07 ;         1 
 test_conPolyZono_contains                               ;  1 ; 2723741570 ;  0.58 ;         1 
 test_conPolyZono_convHull                               ;  1 ; 2794629082 ;  3.28 ;         1 
 test_conPolyZono_copy                                   ;  1 ; 1921071379 ;  0.06 ;         1 
 test_conPolyZono_display                                ;  1 ; 3681995713 ;  0.11 ;         1 
 test_conPolyZono_empty                                  ;  1 ; 3569498147 ;  0.01 ;         1 
 test_conPolyZono_isemptyobject                          ;  1 ;  771251523 ;  0.01 ;         1 
 test_conPolyZono_lift                                   ;  1 ; 3111329510 ;  0.05 ;         1 
 test_conPolyZono_minkDiff                               ;  1 ; 2655494348 ;  0.14 ;         1 
 test_conPolyZono_mtimes                                 ;  1 ; 2906161341 ;  0.09 ;         1 
 test_conPolyZono_plot                                   ;  1 ; 3484152218 ; 13.01 ;         1 
 test_conPolyZono_plus                                   ;  1 ; 1288698837 ;  0.04 ;         1 
 test_conPolyZono_polygon                                ;  1 ; 2275003256 ; 11.20 ;         1 
 test_conPolyZono_printSet                               ;  1 ; 1310635208 ;  0.17 ;         1 
 test_conPolyZono_randPoint                              ;  1 ; 1391771212 ;  0.84 ;         1 
 test_conPolyZono_reduceConstraints                      ;  1 ;  936203280 ;  0.06 ;         1 
 test_conPolyZono_representsa                            ;  1 ; 2347681590 ;  0.24 ;         1 
 test_conPolyZono_supportFunc                            ;  1 ; 1102319085 ;  0.18 ;         1 
 test_conPolyZono_uminus                                 ;  1 ; 1577823188 ;  0.07 ;         1 
 test_conPolyZono_uplus                                  ;  1 ;  894668064 ;  0.04 ;         1 
 test_conPolyZono_zonotope                               ;  1 ;  148781465 ;  0.11 ;         1 
